client,local accuracy
client242,0.8611111044883728
client243,0.5391303896903992
client244,0.47826087474823
client245,0.4957265257835388
client246,0.6416667103767395
client247,0.7578125
client248,0.569444477558136
client249,0.542553186416626
client250,0.6826923489570618
client251,0.7898437976837158
client252,0.37735849618911743
client253,0.5648148059844971
client254,0.5555555820465088
client255,0.6796116828918457
client256,0.5882353186607361
client257,0.5072463750839233
client258,0.7500000596046448
client259,0.8257812857627869
client260,0.5375000238418579
client261,0.8090909123420715
client262,0.5514018535614014
client263,0.6393442153930664
client264,0.6272727251052856
client265,0.5904017686843872
client266,0.557894766330719
client267,0.54347825050354
client268,0.6181818246841431
client269,0.781818151473999
client270,0.6486486792564392
client271,0.8992187976837158
client272,0.5747126340866089
client273,0.4845360815525055
client274,0.6184210777282715
client275,0.6228693127632141
client276,0.4660194218158722
client277,0.6132075786590576
client278,0.5762711763381958
client279,0.5555555820465088
client280,0.5394737124443054
client281,0.504092276096344
client282,0.7523809671401978
client283,0.6293103694915771
client284,0.567307710647583
client285,0.7096354365348816
client286,0.824999988079071
client287,0.53515625
client288,0.5779816508293152
client289,0.5961538553237915
client290,0.6185937523841858
client291,0.7211834192276001
client292,0.7179487347602844
client293,0.9910714626312256
client294,0.58203125
client295,0.73828125
client296,0.4678898751735687
client297,0.6186440587043762
client298,0.4268292486667633
client299,0.5735085010528564
client300,0.7692307829856873
client301,0.5057471394538879
client302,0.5064935088157654
client303,0.5529412031173706
client304,0.6065104007720947
client305,0.6285714507102966
client306,0.6111111044883728
client307,0.6410256624221802
client308,0.7614678740501404
client309,0.5420560836791992
client310,0.5913043022155762
client311,0.565625011920929
client312,0.7400000095367432
client313,0.4579439163208008
client314,0.5535714626312256
client315,0.5567010045051575
client316,0.8316831588745117
client317,0.5483871102333069
client318,0.4000000059604645
client319,0.5052632093429565
client320,0.5045871138572693
client321,0.7526041865348816
client322,1.0
client323,0.6168224215507507
client324,0.44565218687057495
client325,0.4571428894996643
client326,0.534246563911438
client327,0.69921875
client328,0.6933333277702332
client329,0.5609756112098694
client330,0.5943396091461182
client331,0.5043478012084961
client332,0.5660377740859985
client333,0.7435897588729858
client334,0.4878048598766327
client335,0.7669903039932251
client336,0.7570093274116516
client337,0.4054054021835327
client338,0.5688073039054871
client339,0.7708333730697632
client340,0.698113203048706
client341,0.7419354915618896
client342,0.6603773832321167
client343,0.625
client344,0.6422017812728882
client345,0.5822784900665283
client346,0.544715404510498
client347,0.5612244606018066
client348,0.9189189672470093
client349,0.6517857313156128
client350,0.6176470518112183
client351,0.5871559381484985
client352,0.7244898080825806
client353,0.5784313678741455
client354,0.5412843823432922
client355,0.6233766078948975
client356,0.797776460647583
client357,0.5222222208976746
client358,0.49514564871788025
client359,0.7326388955116272
client360,0.5762711763381958
client361,0.5233644843101501
client362,0.596774160861969
client363,0.8157894611358643
client364,0.6764706373214722
client365,0.4999999701976776
client366,0.6215049028396606
client367,0.7808219194412231
client368,0.714285671710968
client369,0.9816513061523438
client370,0.7090908885002136
client371,0.49514564871788025
client372,0.5802469253540039
client373,0.69921875
client374,0.5930232405662537
client375,0.7014925479888916
client376,0.4901961088180542
client377,0.6122449040412903
client378,0.4609375
client379,0.5584415793418884
client380,0.625
client381,0.5699999928474426
client382,0.8404447436332703
client383,0.6126126050949097
client384,0.4215686321258545
client385,0.43103447556495667
client386,0.5871559381484985
client387,0.7402597665786743
client388,0.761904776096344
client389,0.49514564871788025
client390,0.5517241358757019
client391,0.5192307829856873
client392,0.7413793206214905
